stim_folder,wav_file,pred_original,pred_metamer,match_distance,metamer_wav
0_stim102_crumpling_paper_orig_splits,0_stim102_crumpling_paper_orig_01_04.wav,,,0.052672,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_grid_sweeps/iter500_step0p003_initnoise_gl64_seed2_eps1000p0/0_stim102_crumpling_paper_orig_splits/0_stim102_crumpling_paper_orig_01_04/metamer_audio.wav
0_stim102_crumpling_paper_orig_splits,0_stim102_crumpling_paper_orig_04_07.wav,,,0.051097,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_grid_sweeps/iter500_step0p003_initnoise_gl64_seed2_eps1000p0/0_stim102_crumpling_paper_orig_splits/0_stim102_crumpling_paper_orig_04_07/metamer_audio.wav
0_stim102_crumpling_paper_orig_splits,0_stim102_crumpling_paper_orig_07_10.wav,,,0.050963,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_grid_sweeps/iter500_step0p003_initnoise_gl64_seed2_eps1000p0/0_stim102_crumpling_paper_orig_splits/0_stim102_crumpling_paper_orig_07_10/metamer_audio.wav
1_stim11_baby_crying_orig_splits,1_stim11_baby_crying_orig_01_04.wav, WHAWHA,E   I E,0.281965,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_grid_sweeps/iter500_step0p003_initnoise_gl64_seed2_eps1000p0/1_stim11_baby_crying_orig_splits/1_stim11_baby_crying_orig_01_04/metamer_audio.wav
1_stim11_baby_crying_orig_splits,1_stim11_baby_crying_orig_04_07.wav,THTH, E E ,0.369593,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_grid_sweeps/iter500_step0p003_initnoise_gl64_seed2_eps1000p0/1_stim11_baby_crying_orig_splits/1_stim11_baby_crying_orig_04_07/metamer_audio.wav
1_stim11_baby_crying_orig_splits,1_stim11_baby_crying_orig_07_10.wav,, HE THER,0.308217,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_grid_sweeps/iter500_step0p003_initnoise_gl64_seed2_eps1000p0/1_stim11_baby_crying_orig_splits/1_stim11_baby_crying_orig_07_10/metamer_audio.wav
2_stim150_finger_tapping_orig_splits,2_stim150_finger_tapping_orig_01_04.wav,,,0.047639,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_grid_sweeps/iter500_step0p003_initnoise_gl64_seed2_eps1000p0/2_stim150_finger_tapping_orig_splits/2_stim150_finger_tapping_orig_01_04/metamer_audio.wav
2_stim150_finger_tapping_orig_splits,2_stim150_finger_tapping_orig_04_07.wav,,,0.052032,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_grid_sweeps/iter500_step0p003_initnoise_gl64_seed2_eps1000p0/2_stim150_finger_tapping_orig_splits/2_stim150_finger_tapping_orig_04_07/metamer_audio.wav
2_stim150_finger_tapping_orig_splits,2_stim150_finger_tapping_orig_07_10.wav,,,0.044770,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_grid_sweeps/iter500_step0p003_initnoise_gl64_seed2_eps1000p0/2_stim150_finger_tapping_orig_splits/2_stim150_finger_tapping_orig_07_10/metamer_audio.wav
3_stim211_keys_jingling_orig_splits,3_stim211_keys_jingling_orig_01_04.wav,,,0.052925,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_grid_sweeps/iter500_step0p003_initnoise_gl64_seed2_eps1000p0/3_stim211_keys_jingling_orig_splits/3_stim211_keys_jingling_orig_01_04/metamer_audio.wav
